trial_number,batch_size,dropout,ensemble_method,heads,hidden_dim,lr,num_layers,pooling,use_self_loops,weight_decay,val_accuracy,test_accuracy,state
180,128,0.52642787745803,transform,4,64,0.0069997420488683015,3,add,True,0.000912428491403813,0.5806451612903226,0.48868778280542985,COMPLETE
181,128,0.5924186446790134,transform,4,256,0.003559035691469988,3,mean,True,0.0008910418528205667,0.9032258064516129,0.8235294117647058,COMPLETE
182,128,0.5957482871686,transform,4,256,0.004280919327013488,3,mean,True,0.0008304009025095579,0.9032258064516129,0.7918552036199095,COMPLETE
183,128,0.6059007532128842,transform,4,256,0.0030874778648519764,3,mean,True,0.0007805561902126135,0.9032258064516129,0.8280542986425339,COMPLETE
184,128,0.5806382492351402,transform,4,256,0.0016736982123834005,3,mean,True,0.0009991206999295792,0.9032258064516129,0.8235294117647058,COMPLETE
185,64,0.6367295985042847,transform,4,256,0.007955371274562069,3,mean,True,2.032499800214819e-05,0.8709677419354839,0.8099547511312217,COMPLETE
186,32,0.5318392573715929,average,4,256,0.0039530662889479505,2,mean,True,0.0006702148234027235,0.9032258064516129,0.8280542986425339,COMPLETE
187,128,0.5970001364435465,voting,8,64,0.0010194488846850568,4,add,True,6.328718309010015e-05,0.7741935483870968,0.7782805429864253,COMPLETE
188,64,0.6103659640065966,transform,4,128,0.004511257974431362,2,mean,True,2.5026727578430986e-05,0.9032258064516129,0.8190045248868778,COMPLETE
189,64,0.644842018050246,average,8,256,0.0025547016926993323,3,max,True,0.0005583273968225294,0.8709677419354839,0.8190045248868778,COMPLETE
190,128,0.6023330861911879,transform,4,256,0.006499516154465937,2,add,True,0.00012403859958821725,0.7741935483870968,0.7828054298642534,COMPLETE
191,128,0.584116852402902,transform,4,128,0.0011665343164755139,3,mean,True,1.1927403914385579e-05,0.8387096774193549,0.8235294117647058,COMPLETE
